country_code,authors2008,authors2009,authors2010,authors2011,authors2012,authors2013,authors2014,authors2015,authors2016,authors2017
SVN,4731,5079,5360,5884,5960,6163,6412,6596,6782,6904
SWE,31150,33324,33517,35725,37310,39352,41574,42746,44730,45331
SWZ,66,66,123,86,76,72,81,94,92,140
SYC,29,25,30,35,33,49,35,61,51,61
SYR,447,367,536,581,737,689,783,786,768,668
TCA,2,22,2,1,4,7,7,5,10,9
TCD,17,33,14,32,30,49,58,68,74,98
TGO,166,187,196,206,291,311,369,349,404,358
THA,12003,13153,14944,16349,17773,18492,20158,20203,22257,25525
TJK,70,52,87,91,138,208,113,141,177,187
TKL,0,1,0,0,0,0,0,1,2,1
TKM,8,14,13,15,17,10,17,7,10,12
TLS,5,3,3,2,25,30,35,32,25,57
TON,3,12,6,12,10,7,7,9,15,36
TTO,130,120,143,164,123,128,159,117,160,112
TUN,6722,7599,8380,9051,9359,10225,10689,11588,12875,13395
TUR,39444,44802,49050,52718,55107,58657,62334,67483,71674,69731
TUV,1,0,0,0,1,1,6,0,2,4
TWN,52795,57705,62344,66462,67293,69047,68002,64326,62803,62010
TZA,867,859,1074,1148,1208,1324,1736,1725,1929,2038
UGA,855,973,1183,1363,1528,1624,1851,2045,2164,2460
UKR,9955,10342,11064,11779,12338,13943,14441,14954,16497,18793
UMI,1,5,1,0,1,0,0,0,0,3
URY,1219,1293,1455,1561,1648,1615,1999,1882,2299,2264
USA,727225,745919,774164,810147,840645,863463,889157,912199,938220,966594
UZB,692,726,795,897,756,804,771,711,897,882
VAT,13,14,19,23,21,19,19,19,25,40
VCT,0,2,15,2,3,6,7,5,9,14
VEN,4672,4883,4431,4053,4182,3770,3811,3456,3091,2976
VGB,2,6,2,11,5,2,7,4,10,3
VIR,20,13,19,8,19,18,22,16,34,39
VNM,2265,2635,3061,3542,4360,5287,5640,6562,8465,9731
VUT,15,16,29,19,13,26,27,30,37,33
WLF,1,3,1,4,0,7,0,5,0,2
WSM,8,15,13,25,13,22,25,35,31,30
YEM,167,223,279,285,308,374,447,337,385,449
YUG,58,36,29,36,13,5,32,50,51,71
YUX,8,2,0,1,0,0,5,2,0,0
ZAF,11202,12100,13011,14551,15487,17242,19406,20125,22300,23474
ZAR,1,0,0,0,0,0,0,0,0,0
ZMB,288,271,321,388,450,445,557,628,779,815
ZWE,423,317,387,422,577,662,844,751,855,956
