country_code,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018
CSS,9054.851428,10225.38043,8578.716747,9253.214027,9920.910166,10187.30151,10306.88816,10377.11289,10116.51995,9560.194679,9810.470068,10250.43407
CUB,5208.718388,5411.269492,5529.669375,5730.354264,6139.718783,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008
CUW,,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19630.89349
CYM,85433.03094,85188.33704,77400.42144,73351.75677,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922
CYP,31244.92622,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26444.07438,29089.47133
CZE,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561
DEU,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44442.77184,47787.16051
DJI,1052.719117,1223.852363,1267.317394,1343.275125,1451.548081,1559.240651,2312.720948,2464.297678,2658.964207,2802.181971,2914.374595,3141.879389
DMA,5951.863413,6468.944767,6903.145806,6967.364955,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7693.771453
DNK,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61598.5367
DOM,4707.795052,5087.983213,5039.403122,5555.392014,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076
DZA,3950.51426,4923.630278,3883.27129,4480.787439,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234
EAP,2463.859868,3091.090388,3330.632704,4006.561591,4855.674023,5375.530594,5890.471604,6303.515561,6519.038901,6609.484366,7172.701944,7968.089975
EAR,2343.858436,2599.726516,2466.24683,2949.396479,3255.825907,3365.31928,3378.604105,3447.097437,3301.137579,3333.147041,3554.53187,3526.975044
EAS,5675.001382,6498.497381,6650.301436,7698.981508,8858.855472,9417.628081,9465.403888,9700.755546,9595.159207,9855.725329,10467.854,11318.84036
ECA,6811.456166,8410.154001,6585.407769,7815.679282,9601.425309,10121.83497,10689.03919,9916.756704,7546.232996,7177.772237,8018.714138,8206.596661
ECS,24174.22869,26436.53098,23165.17958,23640.6638,26138.77416,25097.80321,26102.0502,26334.39368,22582.9527,22404.89958,23617.21929,25221.76086
ECU,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662
EGY,1667.317998,2044.527804,2331.26884,2645.968759,2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185
EMU,38666.7714,42177.6397,38422.45231,37561.06509,40599.57765,37589.04517,39100.92794,39854.42162,34367.1012,35137.75436,37045.47826,39997.55475
ERI,439.8321034,450.6323989,595.1099872,501.355317,642.5082588,,,,,,,
ESP,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28100.58624,30374.52104
EST,16741.93923,18227.11953,14794.9711,14784.38466,17624.04456,17534.42135,19174.10033,20367.10316,17522.23019,18437.25282,20407.92738,23159.39249
ETH,244.2860523,326.4368228,380.5690032,341.5541227,354.4795719,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663
EUU,33551.40893,36913.83511,33361.83193,32934.03875,35709.53074,33150.83222,34560.52273,35239.1751,30466.8095,31164.59504,33008.50414,35703.68953
FCS,1524.630781,1918.46386,1777.533821,2067.712299,2047.254698,2298.502511,2362.401197,2504.444544,2167.407843,1928.978592,1929.877239,2021.725791
FIN,48414.84509,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46297.49635,50013.2942
FJI,4040.152119,4167.694935,3362.820495,3652.535933,4371.447385,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.437799
FRA,41508.43269,45334.11796,41575.42196,40638.33525,43790.72602,40874.70039,42592.93539,43011.2631,36638.18493,37037.37419,38685.25849,41526.41466
FRO,47885.69888,50863.95379,47441.91598,48541.40119,52092.60338,49459.71723,54843.31929,59433.83457,52400.29728,56854.10265,59993.09063,62918.14619
FSM,2458.658394,2541.261625,2721.97609,2885.305492,3009.256825,3131.386715,2994.792394,2971.512602,2906.617012,3014.700358,3289.642117,3568.291016
GAB,8458.309179,10254.17196,7721.018953,8849.322608,10809.68495,9813.505747,9683.58162,9663.42411,7384.700704,6984.419712,7230.434912,7956.627816
GBR,50444.93015,47267.01218,38736.9022,39536.77268,42047.61425,42449.10767,43401.31053,47452.19914,45039.23595,41048.34966,40304.72308,42992.80372
GEO,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.787783
GHA,1081.166318,1217.064435,1077.662058,1299.345212,1549.462719,1587.560932,2361.090324,1899.668336,1705.575082,1913.473536,2020.68179,2194.232477
GIB,,,,,,,,,,,,
GIN,659.992931,715.0965267,674.0854826,672.4249304,651.1361134,717.0505359,769.0031667,787.2385644,769.2554754,732.2915119,855.5752706,955.1112811
GMB,780.3810509,924.5098746,833.2813604,860.6364339,762.7631177,742.7776286,700.5160422,607.4299047,660.7235712,690.7804932,679.7550717,732.7207273
GNB,493.7219932,599.9952372,559.4145709,558.1746681,703.6605673,616.375664,634.6620391,623.3130914,603.3993815,661.4578387,738.5499449,802.7673851
GNQ,15908.41119,22942.6101,16668.1217,17288.8426,21641.6939,21711.15159,20390.73727,19394.08066,11283.39805,9250.316493,9667.857801,10005.61679
GRC,28827.32639,31997.28202,29710.97023,26690.60742,25450.53412,21915.19132,21749.15248,21601.7764,18050.09761,17885.39281,18562.22943,19765.99645
GRD,7212.986819,7832.349081,7290.834938,7258.166561,7291.74167,7444.089075,7789.632355,8370.040472,9096.538652,9628.172843,10152.83281,10486.37759
GRL,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50321.36875,54470.95639
GTM,2490.749127,2802.461962,2651.817123,2852.547327,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646
GUM,27680.54996,29288.78186,30320.53859,31040.0843,31210.47029,32908.30677,33656.45357,34843.20557,35829.25036,36214.00692,36601.91988,36502.38282
GUY,3658.476971,4050.788213,4233.76442,4580.699136,4908.567014,5378.81197,5489.142758,5407.153711,5576.82607,5811.397924,6124.95367,6145.818743
HIC,38494.40014,40574.13886,37776.77658,39341.13236,42258.0471,42057.99465,42321.54871,42995.26562,40398.44866,41013.34128,42658.20723,45114.36039
HKG,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48542.68187
HND,1583.047451,1739.353377,1789.705553,1904.347152,2088.315547,2144.342363,2102.592449,2206.054397,2302.204411,2342.584904,2453.727115,2510.322943
HPC,636.997799,748.4684432,738.8307773,797.2101201,852.3707875,872.437832,945.0036949,970.9121683,927.1244575,909.5132254,944.4637175,979.8899885
HRV,13937.44839,16296.80592,14540.6416,13949.3265,14609.52435,13258.35985,13674.4178,13599.40978,11781.73479,12361.48383,13451.62495,15014.08502
HTI,981.1105146,1076.702447,1150.211089,1172.099015,1287.954058,1337.336475,1393.956085,1402.100289,1389.119779,1265.986932,1294.239628,1435.350852
HUN,13918.96019,15753.47328,13046.48101,13191.62126,14216.16561,12950.68652,13687.51406,14267.01215,12706.89121,13090.50673,14605.85435,16411.44111
IBD,3293.45746,3915.625837,3760.768261,4521.982563,5288.461865,5567.74639,5824.770745,5965.710751,5579.990996,5572.724644,6094.71936,6415.154649
IBT,2735.233638,3240.511404,3106.858574,3710.556573,4312.473561,4529.499118,4737.412327,4848.12374,4536.057792,4505.604602,4889.873864,5127.061541
IDA,855.97075,997.4222714,963.3877966,1083.105991,1190.085798,1249.630901,1347.17426,1408.98015,1366.150172,1305.681497,1321.432163,1364.109464
IDB,1265.745034,1464.181449,1340.413854,1534.962515,1721.445534,1859.740421,1972.596895,2068.872068,1949.18058,1773.844239,1712.650913,1747.506594
IDN,1860.002811,2166.854231,2261.247309,3122.362673,3643.047176,3694.35934,3623.927241,3491.637491,3331.695115,3562.816334,3837.578024,3893.859578
IDX,644.9020519,757.2005819,771.2534696,851.2809904,915.6179926,932.2370758,1022.148077,1065.282163,1063.642258,1065.845678,1124.557574,1172.228221
IMN,54196.30173,70986.30133,65029.01975,69767.34336,77349.22524,79148.33225,83357.13268,92334.64631,85126.97047,82197.12677,83477.83429,89112.66772
IND,1028.334772,998.5223415,1101.960838,1357.563727,1458.104066,1443.882435,1449.610451,1573.885642,1605.605445,1732.554242,1980.66702,1996.915087
INX,,,,,,,,,,,,
IRL,61337.17962,61213.30652,52008.72824,48698.16532,51886.50849,48914.61753,51577.27936,55586.9626,62000.11881,62993.7451,70413.12183,79297.7292
IRN,4904.666183,5717.314148,5709.948293,6599.660938,7781.405801,7927.844908,6018.3229,5585.525604,4904.327315,5253.42656,5520.314782,3598.483454
IRQ,3182.841351,4636.639325,3853.82862,4657.280269,6045.494567,6836.073995,7076.552265,6637.684375,4688.318017,4550.658638,5076.690795,5523.078375
ISL,69495.72674,56943.37045,41301.27322,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74348.36228
ISR,24939.4618,29599.78301,27719.79499,30694.16768,33610.69403,32510.3453,36316.47837,37738.41607,35813.71341,37282.53056,40474.66813,41704.82857
ITA,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32326.67421,34608.6756
JAM,4623.747897,4928.126409,4335.178411,4704.04776,5111.465987,5209.859264,4989.734089,4834.284009,4907.927415,4843.7499,5070.099503,5359.993789
JOR,2735.378767,3455.769953,3559.692102,3736.645462,3852.890025,3910.346894,4044.426869,4131.44735,4164.108769,4175.356602,4231.51828,4308.151074
JPN,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38761.81815,38386.51115,39159.42356
KAZ,6771.414797,8458.017154,7165.223175,9070.488253,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371
KEN,825.666555,902.0699578,905.1316534,951.68778,971.6330365,1136.869893,1210.385435,1315.802225,1336.883265,1410.532025,1572.345734,1708.001428
KGZ,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.139779
KHM,631.5252576,745.609127,738.0547312,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989
KIR,1374.395199,1428.134977,1312.025001,1516.76766,1734.902397,1788.690394,1715.813041,1642.822669,1542.616968,1584.737028,1640.57196,1698.329587
KNA,14429.55024,15592.87088,15388.44344,15510.19915,16539.76901,16046.48694,16685.94759,18051.17903,18028.97343,18810.55938,19158.7448,19276.52127
KOR,24086.41044,21350.42798,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421
KWT,45782.14857,55494.9301,37561.72593,38577.49828,48631.7834,51979.12069,49388.05338,44062.34091,29869.55275,27653.15762,29759.46744,33399.06048
LAC,6544.606529,7484.449906,6876.753438,8504.473849,9821.029308,9674.39298,9829.36977,9775.879638,8241.120037,7930.715055,8743.84224,8395.074358
LAO,710.3445761,900.3221829,948.6542409,1140.598657,1378.362016,1581.39614,1825.665672,1998.333108,2134.713062,2308.799808,2423.847598,2542.489769
LBN,5207.792723,6111.327281,7354.953605,7761.641489,7675.30894,7952.151239,7933.233249,7687.930519,7644.545147,7626.300196,7792.59886,8012.539237
LBR,396.6017613,478.3995401,470.9481214,513.4455667,596.8966353,657.9357791,721.9295456,721.1822986,710.3840166,714.6233922,698.7023587,677.3223191
LBY,11300.19323,14382.59529,10275.26154,12064.77291,5554.180053,13025.27932,10363.80425,6466.908237,4337.919139,4035.196802,5756.699325,7877.12461
LCA,7969.797993,8456.694632,8137.750991,8540.07098,8983.743733,9086.387955,9378.985047,9843.308534,10093.61802,10361.58388,11047.44499,11357.82657
LCN,6935.858748,7966.56108,7402.54097,9075.903791,10204.24345,10198.38858,10339.94815,10433.17121,8888.231171,8600.757385,9461.211347,9158.440964
LDC,623.5391389,747.220291,742.1112231,826.4997561,906.4127026,932.5788117,997.6942912,1052.687815,1011.525345,986.9248236,1053.963522,1065.291106
LIC,575.35693,679.5375025,680.7342243,745.925573,773.3160191,777.7348732,828.5573585,874.3229915,851.3552364,785.6338741,790.858529,795.9531592
LIE,130655.637,143264.0594,126096.6104,141192.5347,158130.4575,149010.2249,173030.2083,178864.8519,167313.2663,165642.3863,171253.9643,180366.7152
LKA,1630.388906,2037.322103,2090.401826,2799.648738,3200.861132,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4076.747003,4058.803511
LMC,1350.95694,1503.931528,1504.962194,1801.825852,2020.207967,2087.322877,2093.378612,2145.495731,2074.977957,2134.936109,2266.935303,2264.39294
LMY,2604.129444,3077.782567,2963.713558,3548.500546,4156.659611,4370.990223,4578.637987,4674.292066,4382.340281,4353.084405,4721.748778,4944.432719
LSO,846.5423208,889.1342855,874.7298605,1119.843641,1287.269536,1229.636232,1166.911756,1194.575627,1146.064688,1018.931093,1102.94441,1192.48432
LTE,4378.143432,5408.967226,5194.58204,6193.425433,7502.551785,7978.503815,8547.817337,8819.043837,8219.840161,8190.535213,9034.226375,9849.861213
LTU,12285.44705,14944.99665,11820.77616,11987.50841,14376.94786,14367.70942,15729.65247,16551.0182,14258.22933,14998.12506,16843.69965,19166.81227
LUX,106018.4928,114293.8433,103198.6693,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391,107361.3069,116597.2956
LVA,14091.04765,16422.11198,12288.21383,11379.79806,13776.08878,13923.47398,15122.73528,15713.53697,13774.60527,14315.79289,15643.48563,17849.5593
MAC,36550.50516,40810.82804,41010.06826,52473.19099,66891.28197,76572.15179,89260.7571,93022.87514,74839.33204,73569.43369,81044.88998,87554.71386
MAF,,,,,,,,,,,,
MAR,2499.259938,2890.360715,2866.92411,2839.92612,3046.947854,2912.658275,3121.680081,3171.699192,2875.257985,2896.722196,3035.454433,3226.982794
MCO,169966.3069,185785.7259,154775.3808,150737.8925,169016.1961,157520.2194,177673.7454,189432.37,165989.5051,170028.6557,167517.0597,185978.6093
MDA,1531.685476,2111.201495,1899.010117,2437.529978,2942.255949,3045.739874,3322.038436,3328.801449,2732.457113,2880.439281,3509.69345,4230.363037
MDG,438.6555158,536.351379,467.5398004,471.959197,531.2654985,518.1529543,541.0660586,530.8611206,467.2355537,475.9556084,515.2933093,518.401123
MDV,5574.401981,6614.23618,6636.543871,7076.739821,7291.465967,7265.723399,7928.476443,8499.307148,9033.459724,9209.399665,9577.702376,10276.77339
MEA,5869.278647,7181.747376,6278.627995,7172.938023,8326.334924,8897.740335,8656.287655,8527.81667,7357.406221,7257.019433,7403.30469,7546.701353
MEX,9642.680517,10016.57121,8002.972178,9271.398396,10203.4213,10241.72783,10725.18359,10928.91601,9616.645558,8744.515559,9287.849587,9686.514244
MHL,2646.873996,2704.463554,2662.334015,2846.065542,3046.290071,3181.6247,3246.63025,3185.261354,3199.886846,3490.998389,3672.576783,3793.550983
MIC,2794.876089,3307.239564,3186.390104,3824.786222,4493.175313,4732.921507,4962.139483,5069.137762,4755.35979,4734.130971,5146.504264,5399.040431
MKD,4037.122452,4794.334682,4546.152171,4545.392131,5063.885906,4697.196689,5210.153044,5468.126225,4843.492387,5132.997146,5432.414531,6087.468311
MLI,597.4798388,697.0878685,701.7120403,710.2742494,837.605821,778.6252695,805.0339796,848.279043,751.4728866,780.7235695,830.0215153,894.8047765
MLT,19485.87119,22205.35681,21083.27715,21799.17426,23155.55479,22527.63676,24771.07658,26754.26845,24921.60368,25741.44606,28250.69777,30672.29224
MMR,512.5800861,637.5217394,840.0744393,1018.13173,1061.923411,1035.80424,1121.942049,1140.76652,1144.474341,1158.434566,1257.803576,1279.089756
MNA,3179.519799,3870.830995,3670.95687,4161.671846,4624.841887,5014.187299,4609.466436,4453.932158,3924.979736,3919.466963,3801.05245,3501.870767
MNE,5976.394145,7367.751909,6727.107767,6688.4824,7328.932252,6586.721279,7189.295425,7388.147794,6517.163752,7033.604899,7803.411137,8850.094631
MNG,1632.727582,2136.562402,1714.361827,2643.287083,3757.565415,4351.888461,4366.089537,4158.521471,3918.587015,3660.151944,3669.406934,4134.979372
MNP,16988.13728,17191.1902,14669.52061,14804.24673,13496.75078,13736.97197,14091.19118,15044.9359,16314.38355,21891.18479,27584.74351,22886.67405
MOZ,482.1985636,563.6496343,520.4026316,471.9043433,594.5861471,657.6446765,664.0775104,673.969212,589.85905,428.9266729,461.4150941,503.3179252
MRT,1357.124285,1579.511548,1389.338533,1610.921603,1879.772472,1815.218939,1892.094,1677.109019,1524.071753,1536.854888,1577.86437,1601.291932
MUS,6574.654338,8030.063005,7318.12641,8000.376432,9197.042991,9291.236379,9637.015729,10153.93269,9260.447303,9681.623107,10484.90583,11208.3273
MWI,332.2590946,387.6057212,438.2118568,478.6686885,534.9510502,391.5617052,348.4298737,371.2695217,380.5969877,315.7779871,497.3104097,535.3513457
MYS,7243.456801,8474.587762,7292.494973,9040.568495,10399.37021,10817.43171,10970.1043,11319.06194,9955.242722,9817.78709,10259.30481,11377.6542
NAC,47660.54833,48229.12621,46495.71874,48387.21093,50123.85358,51717.78701,53068.03255,54648.01934,55542.96607,56451.5175,58605.34429,61381.71985
NAM,4405.410397,4212.367195,4295.387144,5394.996711,5806.748245,5942.29274,5392.09494,5469.901401,4896.61526,4546.986687,5367.114673,5587.985613
NCL,,,,,,,,,,,,
NER,390.2844802,478.502559,464.057999,476.8695322,512.595335,529.7444581,552.569139,564.5967488,484.2386326,498.1053379,517.9770442,572.4301385
NGA,1883.461388,2242.8719,1891.335297,2280.437337,2487.598017,2723.822191,2961.549422,3098.985791,2687.480056,2176.002772,1968.565398,2027.778549
NIC,1327.957086,1499.266728,1444.36951,1503.872231,1655.818055,1760.467407,1811.636803,1934.062922,2049.851666,2107.57406,2159.161926,2014.570287
NLD,51733.44213,57644.47997,52514.02712,50950.03434,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292,48554.99228,53018.62936
NOR,85139.96045,96944.09561,79977.69708,87693.79007,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70460.56053,75496.75406,82267.80932
NPL,391.3800572,470.455459,478.1732528,592.4012071,799.5833769,804.1416073,823.3598746,844.8531248,901.7496077,899.523581,1048.453755,1178.525932
NRU,,,,4752.175082,6560.27487,9562.667866,9648.495655,10171.48073,8365.07289,9555.79043,10360.77731,11614.66508
NZL,32479.98174,31252.96256,28209.36233,33676.77412,38387.62708,39973.38076,42976.64959,44572.89875,38630.72659,40080.49411,42992.89527,43306.07
OED,34262.15587,36030.19299,33496.13155,34916.01774,37356.38008,37106.30082,37369.45394,37908.85972,35551.96708,35990.2034,37328.35773,39268.56338
OMN,15838.46957,22139.74068,16823.79495,18712.57015,20876.58504,21872.61054,20865.78787,20035.21731,16033.46383,14609.98176,15127.88819,16521.20623
OSS,10954.39111,13046.24791,10910.07481,12384.68778,14903.90814,15218.68155,15558.62187,15758.29011,12814.12165,12410.45212,13241.20072,14402.75104
PAK,908.0950852,990.8466112,957.9956753,987.409712,1164.978823,1198.117637,1208.91771,1251.175719,1356.667831,1368.426961,1464.926195,1482.213067
PAN,6166.187862,7154.274496,7576.140467,8082.019584,9358.261574,10722.25235,11889.07056,12796.05753,13630.32287,14343.98139,15146.40237,15544.73352
