country_code,urb2008,urb2009,urb2010,urb2011,urb2012,urb2013,urb2014,urb2015,urb2016,urb2017
IRL,61.141,61.342,61.542,61.742,61.942,62.141,62.34,62.538,62.737,62.947
IRN,69.458,70.045,70.626,71.2,71.755,72.295,72.83,73.358,73.88,74.394
IRQ,68.927,68.98,69.103,69.268,69.432,69.595,69.758,69.921,70.094,70.278
ISL,93.395,93.511,93.574,93.587,93.6,93.633,93.667,93.7,93.735,93.773
ISR,91.702,91.763,91.826,91.892,91.96,92.031,92.104,92.179,92.256,92.336
ITA,68.092,68.209,68.327,68.444,68.684,68.979,69.272,69.565,69.855,70.144
JAM,53.371,53.557,53.743,53.93,54.132,54.35,54.584,54.833,55.098,55.378
JOR,83.692,84.928,86.088,87.172,88.185,89.125,90,90.256,90.506,90.747
JPN,89.103,89.989,90.812,91.069,91.148,91.226,91.304,91.381,91.457,91.535
KAZ,56.682,56.755,56.827,56.9,56.973,57.046,57.118,57.191,57.264,57.336
KEN,22.8,23.183,23.571,23.969,24.376,24.794,25.221,25.658,26.105,26.562
KGZ,35.285,35.284,35.306,35.352,35.423,35.517,35.635,35.777,35.944,36.135
KHM,19.571,19.93,20.294,20.663,21.037,21.415,21.799,22.188,22.582,22.98
KIR,45.706,46.547,47.39,48.235,49.082,49.927,50.773,51.619,52.45,53.262
KNA,31.603,31.463,31.322,31.182,31.062,30.964,30.885,30.827,30.79,30.773
KOR,81.733,81.835,81.936,81.923,81.851,81.779,81.707,81.634,81.562,81.503
KWT,100,100,100,100,100,100,100,100,100,100
LAC,77.0392993,77.3493275,77.65387162,77.95948564,78.25976909,78.5538835,78.84459645,79.13177689,79.41482224,79.69397377
LAO,28.893,29.475,30.064,30.66,31.264,31.872,32.487,33.108,33.736,34.368
LBN,87.042,87.187,87.334,87.484,87.636,87.79,87.947,88.106,88.266,88.429
LBR,47.088,47.445,47.813,48.193,48.583,48.985,49.397,49.82,50.254,50.697
LBY,77.632,77.837,78.052,78.277,78.512,78.756,79.009,79.27,79.54,79.817
LCA,20.131,19.213,18.45,18.45,18.45,18.461,18.482,18.515,18.558,18.612
LCN,77.98385707,78.26703004,78.54569366,78.82516383,79.09952396,79.36745745,79.63006037,79.88691098,80.13743933,80.38289616
LDC,28.46522189,28.96116101,29.46531522,29.97677975,30.47768233,30.98075134,31.48871277,32.00126918,32.518485,33.04046188
LIC,29.37224655,29.72297857,30.06358456,30.33595124,30.57961611,30.82758413,31.09444546,31.43853671,31.80160334,32.18275126
LIE,14.574,14.519,14.464,14.41,14.367,14.334,14.313,14.303,14.303,14.315
LKA,18.257,18.242,18.226,18.211,18.196,18.198,18.218,18.256,18.311,18.384
LMC,36.92712569,37.35752916,37.79470459,38.23341864,38.67628066,39.12507092,39.57961348,40.04109702,40.50746677,40.97994296
LMY,44.60779919,45.1878761,45.76951722,46.32687285,46.87627577,47.42554253,47.9760194,48.53058592,49.08449001,49.63738283
LSO,23.796,24.293,24.798,25.31,25.704,26.101,26.502,26.908,27.317,27.73
LTE,53.33370738,54.32036144,55.30736471,56.2355405,57.13625706,58.02943933,58.92136809,59.81154212,60.69887257,61.57759686
LTU,66.848,66.842,66.757,66.741,66.864,66.986,67.108,67.23,67.366,67.516
LUX,87.8,88.178,88.547,88.906,89.249,89.574,89.884,90.179,90.46,90.727
LVA,67.834,67.814,67.841,67.869,67.897,67.925,67.952,67.98,68.021,68.075
MAC,100,100,100,100,100,100,100,100,100,100
MAF,,,,,,,,,,
MAR,56.886,57.452,58.018,58.581,59.142,59.7,60.256,60.809,61.36,61.908
MCO,100,100,100,100,100,100,100,100,100,100
MDA,42.682,42.651,42.62,42.589,42.558,42.527,42.496,42.49,42.511,42.557
MDG,30.67,31.301,31.938,32.58,33.227,33.878,34.534,35.193,35.856,36.522
MDV,35.61,36.021,36.434,36.849,37.267,37.685,38.106,38.529,38.954,39.38
MEA,61.81617376,62.23800737,62.656622,63.00198346,63.34024881,63.67427629,64.00004552,64.37090085,64.71960427,65.05272643
MEX,77.222,77.52,77.815,78.111,78.405,78.699,78.993,79.285,79.577,79.867
MHL,72.613,73.093,73.568,74.038,74.498,74.946,75.384,75.811,76.228,76.634
MIC,46.06020739,46.68584326,47.31430468,47.9225464,48.52471705,49.12694044,49.72993691,50.33117685,50.9312481,51.52958456
MKD,57.175,57.117,57.089,57.092,57.125,57.189,57.284,57.408,57.563,57.748
MLI,34.403,35.2,35.999,36.799,37.599,38.398,39.196,39.991,40.783,41.572
MLT,93.929,94.001,94.072,94.141,94.211,94.279,94.347,94.414,94.48,94.546
MMR,28.507,28.695,28.885,29.075,29.266,29.457,29.65,29.858,30.082,30.322
MNA,58.34429499,58.6889093,59.05095474,59.34241027,59.63741063,59.94010225,60.24157752,60.6016311,60.94188713,61.27101508
MNE,63.475,63.808,64.14,64.472,64.804,65.137,65.471,65.806,66.141,66.477
MNG,65.581,66.58,67.567,67.963,68.03,68.097,68.163,68.23,68.297,68.363
MNP,90.795,90.872,90.949,91.028,91.108,91.19,91.273,91.357,91.443,91.53
MOZ,30.832,31.328,31.83,32.336,32.846,33.36,33.878,34.4,34.926,35.455
MRT,44.788,45.686,46.588,47.493,48.4,49.306,50.203,51.089,51.962,52.824
MUS,41.777,41.666,41.555,41.444,41.332,41.222,41.111,41,40.91,40.841
MWI,15.326,15.429,15.544,15.672,15.812,15.966,16.132,16.313,16.506,16.714
MYS,69.225,70.075,70.912,71.609,72.275,72.93,73.577,74.213,74.84,75.447
NAC,80.45557959,80.62475234,80.79198564,80.96264204,81.12430122,81.29037419,81.45987195,81.63309369,81.80877001,81.9896397
NAM,39.597,40.601,41.616,42.637,43.693,44.756,45.826,46.9,47.961,49.005
NCL,65.969,66.624,67.102,67.565,68.024,68.479,68.931,69.379,69.821,70.256
NER,16.229,16.225,16.221,16.216,16.212,16.208,16.219,16.247,16.29,16.35
NGA,41.702,42.588,43.48,44.366,45.246,46.118,46.982,47.838,48.683,49.519
NIC,56.525,56.721,56.917,57.113,57.309,57.505,57.7,57.895,58.09,58.299
NLD,85.402,86.288,87.134,87.879,88.588,89.187,89.69,90.173,90.635,91.077
NOR,78.526,78.815,79.102,79.455,79.874,80.286,80.692,81.091,81.485,81.871
NPL,16.105,16.434,16.768,17.108,17.458,17.815,18.182,18.557,18.942,19.336
NRU,100,100,100,100,100,100,100,100,100,100
NZL,86.28,86.22,86.16,86.1,86.161,86.221,86.281,86.341,86.4,86.466
OED,78.40768111,78.70043962,78.98658259,79.21165526,79.40754838,79.60051692,79.79284862,79.9894456,80.18827938,80.39018549
OMN,74.08,74.624,75.161,76.183,77.564,78.882,80.145,81.35,82.5,83.56
OSS,55.68943594,56.6215912,57.47665661,58.2467394,58.9123001,59.49737982,60.0547701,60.5953856,61.11794157,61.62442486
PAK,34.59,34.793,34.997,35.202,35.408,35.613,35.819,36.026,36.234,36.442
PAN,64.56,64.851,65.14,65.437,65.741,66.052,66.371,66.696,67.027,67.365
PER,76.052,76.241,76.43,76.617,76.804,76.989,77.173,77.357,77.539,77.72
PHL,45.455,45.371,45.332,45.522,45.712,45.903,46.093,46.284,46.475,46.682
PLW,73.389,74.109,74.817,75.511,76.194,76.862,77.517,78.159,78.775,79.365
PNG,13.055,13.037,13.019,13,12.982,12.978,12.988,13.012,13.05,13.102
POL,61.116,61.004,60.892,60.78,60.654,60.529,60.403,60.278,60.178,60.105
PRE,35.81484741,36.3355038,36.87242717,37.4221749,37.96199466,38.50521261,39.0497449,39.5938909,40.13682509,40.68078017
PRI,93.942,93.884,93.825,93.773,93.726,93.686,93.651,93.624,93.602,93.587
PRK,60.04,60.195,60.377,60.557,60.738,60.918,61.098,61.277,61.471,61.678
PRT,59.359,59.964,60.567,61.167,61.763,62.352,62.936,63.514,64.086,64.652
PRY,58.612,58.937,59.261,59.584,59.907,60.197,60.474,60.75,61.026,61.3
PSE,73.704,73.923,74.149,74.381,74.619,74.863,75.113,75.368,75.628,75.894
PSS,36.2629112,36.57667331,36.85848274,37.10809586,37.33480407,37.54674803,37.76079646,37.98604987,38.22387803,38.47195705
PST,79.28948492,79.5779387,79.85513876,80.06403346,80.23741286,80.40504223,80.57316673,80.74614315,80.92077903,81.09886441
PYF,59.166,59.742,60.317,60.889,61.459,61.583,61.633,61.683,61.734,61.784
QAT,98.139,98.336,98.501,98.602,98.697,98.785,98.868,98.945,99.015,99.078
ROU,53.567,53.698,53.829,53.96,53.974,53.937,53.9,53.887,53.9,53.936
RUS,73.598,73.642,73.687,73.732,73.791,73.863,73.95,74.05,74.164,74.292
RWA,16.925,16.93,16.934,16.938,16.943,16.947,16.967,17.004,17.056,17.125
SAS,30.09297856,30.45394485,30.81736726,31.18389328,31.56070938,31.94444859,32.33684793,32.73756129,33.14632123,33.56412896
SAU,81.649,81.867,82.084,82.302,82.52,82.74,82.96,83.18,83.401,83.622
SDN,32.919,32.993,33.089,33.207,33.346,33.507,33.689,33.894,34.121,34.37
SEN,42.947,43.359,43.773,44.188,44.603,45.019,45.436,45.862,46.296,46.74
SGP,100,100,100,100,100,100,100,100,100,100
SLB,19.138,19.589,20.048,20.508,20.97,21.433,21.896,22.36,22.823,23.286
SLE,38.077,38.466,38.856,39.248,39.642,40.036,40.432,40.829,41.228,41.636
SLV,63.678,64.57,65.452,66.325,67.187,68.036,68.874,69.7,70.501,71.275
SMR,95.264,95.508,95.74,95.961,96.171,96.37,96.559,96.739,96.91,97.072
SOM,36.011,37.645,39.31,41,41.558,42.117,42.679,43.245,43.816,44.391
SRB,54.55,54.772,54.993,55.215,55.356,55.469,55.583,55.696,55.81,55.942
SSA,34.96372755,35.47623152,35.99659175,36.52216014,37.03554938,37.54943657,38.06746398,38.58949619,39.11470628,39.64334225
SSD,17.555,17.701,17.86,18.032,18.217,18.415,18.626,18.852,19.092,19.346
SSF,34.96559309,35.47803732,35.9983829,36.52384403,37.03719324,37.55105688,38.06905755,38.59107378,39.11625406,39.64485886
SST,53.37845602,54.11065781,54.78731319,55.40380296,55.95020082,56.43862025,56.9104115,57.37489066,57.83075137,58.27933808
STP,62.68,63.823,64.952,66.064,67.16,68.208,69.213,70.174,71.092,71.968
SUR,66.479,66.412,66.344,66.276,66.208,66.14,66.089,66.056,66.04,66.041
SVK,55.111,54.96,54.685,54.42,54.28,54.14,54,53.889,53.806,53.751
SVN,52.209,52.433,52.658,52.883,53.108,53.332,53.557,53.781,54.02,54.273
SWE,84.746,84.902,85.056,85.297,85.62,85.936,86.247,86.553,86.852,87.146
SWZ,22.045,22.262,22.48,22.7,22.849,22.999,23.149,23.3,23.459,23.625
SXM,100,100,100,100,100,100,100,100,100,100
SYC,52.619,52.969,53.336,53.72,54.12,54.537,54.969,55.4,55.831,56.261
SYR,54.875,55.237,55.6,54.58,53.555,52.529,51.5,52.168,52.835,53.5
TCA,89.294,89.77,90.228,90.668,91.09,91.483,91.851,92.195,92.517,92.817
TCD,21.901,21.934,21.985,22.054,22.142,22.248,22.372,22.515,22.677,22.858
TEA,45.22249357,46.33988261,47.45817107,48.51170106,49.53906378,50.55973039,51.57721385,52.58954508,53.59772791,54.59768825
TEC,64.83330928,65.00159886,65.15890254,65.30070812,65.43436984,65.56901368,65.7069019,65.85130374,66.00355121,66.1631163
TGO,36.587,37.058,37.533,38.032,38.546,39.061,39.579,40.1,40.628,41.162
THA,41.242,42.543,43.856,44.698,45.445,46.193,46.943,47.694,48.448,49.2
TJK,26.516,26.518,26.52,26.521,26.545,26.589,26.655,26.742,26.851,26.982
TKM,47.868,48.172,48.491,48.825,49.175,49.541,49.921,50.317,50.728,51.153
TLA,77.92582125,78.21691947,78.50315913,78.79061552,79.07255487,79.34842479,79.61921605,79.88385852,80.14186102,80.39448626
TLS,27.048,27.389,27.732,28.079,28.428,28.779,29.133,29.49,29.85,30.212
TMN,58.17056784,58.51502933,58.87720071,59.16806154,59.46256173,59.76488942,60.06598484,60.42633837,60.7666184,61.0959636
TON,23.281,23.335,23.389,23.443,23.435,23.382,23.328,23.275,23.222,23.169
TSA,30.09297856,30.45394485,30.81736726,31.18389328,31.56070938,31.94444859,32.33684793,32.73756129,33.14632123,33.56412896
TSS,34.96559309,35.47803732,35.9983829,36.52384403,37.03719324,37.55105688,38.06905755,38.59107378,39.11625406,39.64485886
TTO,54.402,54.213,54.025,53.836,53.671,53.53,53.413,53.319,53.25,53.205
TUN,66.093,66.376,66.657,66.938,67.218,67.495,67.772,68.056,68.346,68.642
TUR,69.651,70.241,70.825,71.402,71.974,72.531,73.077,73.611,74.134,74.644
TUV,52.765,53.782,54.796,55.807,56.815,57.814,58.786,59.73,60.645,61.53
TZA,26.776,27.439,28.114,28.798,29.493,30.196,30.904,31.617,32.333,33.053
UGA,18.384,18.878,19.383,19.898,20.424,20.958,21.504,22.06,22.624,23.196
UKR,68.325,68.502,68.596,68.689,68.782,68.875,68.968,69.061,69.154,69.246
UMC,57.07864856,58.03903057,59.00225652,59.91406706,60.79611166,61.67249891,62.54696782,63.41520097,64.27769183,65.12838904
URY,93.998,94.209,94.414,94.612,94.739,94.843,94.945,95.045,95.144,95.24
USA,80.438,80.606,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058
UZB,49.989,50.472,50.956,51.15,51.05,50.95,50.85,50.75,50.65,50.55
VCT,48.18,48.569,48.961,49.356,49.754,50.154,50.558,50.964,51.373,51.784
VEN,88.031,88.057,88.083,88.108,88.123,88.133,88.144,88.154,88.165,88.183
VGB,44.152,44.479,44.814,45.154,45.502,45.856,46.216,46.583,46.957,47.337
VIR,94.239,94.419,94.594,94.761,94.919,95.07,95.213,95.35,95.48,95.603
VNM,29.128,29.762,30.417,31.08,31.752,32.429,33.115,33.809,34.51,35.213
VUT,23.985,24.286,24.462,24.561,24.661,24.761,24.861,24.961,25.062,25.163
WLD,50.64916456,51.14910551,51.64626717,52.10380893,52.55479076,53.00576874,53.45903497,53.91644985,54.37363287,54.82780335
WSM,20.524,20.3,20.078,19.857,19.624,19.385,19.149,18.914,18.681,18.452
XKX,,,,,,,,,,
YEM,30.619,31.194,31.776,32.364,32.958,33.559,34.165,34.777,35.394,36.016
ZAF,61.154,61.687,62.218,62.746,63.272,63.793,64.312,64.828,65.341,65.85
ZMB,38.371,38.861,39.355,39.851,40.354,40.865,41.382,41.907,42.438,42.976
ZWE,33.56,33.378,33.196,33.015,32.834,32.654,32.504,32.385,32.296,32.237
